issue_number,url,state,title,existing_classification,proposed_labels,has_controls,observed_dimensions_exact_match,context_shortened,inference_seconds
1,https://github.com/microsoft/apm/issues/1,closed,Why do we need a GitHub token?,,area/ci-cd;area/content-security;area/docs-site;area/enterprise;area/mcp-config;area/package-authoring;theme/portability;theme/security;type/bug;type/docs,False,,False,2.1291176669983543
5,https://github.com/microsoft/apm/issues/5,closed,apm install <my-apm-package-repo>,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,False,4.078666624998732
6,https://github.com/microsoft/apm/issues/6,closed,Add support for GitHub EU,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,False,2.7513852920019417
10,https://github.com/microsoft/apm/issues/10,closed,Security Policy missing the email address for security reports,,area/mcp-config;area/package-authoring;theme/security,False,,False,2.313464999999269
12,https://github.com/microsoft/apm/issues/12,closed,[BUG] Fork PR Testing does not work (no access to secrets),type/bug,area/audit-policy;area/ci-cd;area/content-security;area/distribution;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/performance;type/refactor,True,False,False,3.080076791000465
13,https://github.com/microsoft/apm/issues/13,closed,Refactor `apm init` to minimal-only mode (breaking change),type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,4.6795999170026334
14,https://github.com/microsoft/apm/issues/14,closed,Add auto-bootstrap in `apm install` when no apm.yml exists,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,4.543863915998372
15,https://github.com/microsoft/apm/issues/15,closed,Improve error messages in `apm install` with actionable suggestions,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,4.627946833999886
16,https://github.com/microsoft/apm/issues/16,closed,Update documentation for new init/install workflows,type/docs,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,4.6984560410019185
17,https://github.com/microsoft/apm/issues/17,closed,[Future] Design community template ecosystem via create-apm-* packages,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,4.791133665999951
20,https://github.com/microsoft/apm/issues/20,closed,[FEATURE] Extended MCP Server Configuration in apm.yml,area/mcp-config;area/mcp-trust;theme/security;type/bug;type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,4.8365746659983415
24,https://github.com/microsoft/apm/issues/24,closed,Failed to clone from the private organisation repository,,area/mcp-config;area/package-authoring,False,,True,4.8242518750012096
