issue_number,url,state,title,existing_classification,proposed_labels,has_controls,observed_dimensions_exact_match,context_shortened,inference_seconds
1,https://github.com/microsoft/apm/issues/1,closed,Why do we need a GitHub token?,,area/ci-cd;area/content-security;area/docs-site;area/enterprise;area/mcp-config;area/package-authoring;theme/portability;theme/security;type/bug;type/docs,False,,False,18.458560531999993
5,https://github.com/microsoft/apm/issues/5,closed,apm install <my-apm-package-repo>,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,False,38.44287601900001
6,https://github.com/microsoft/apm/issues/6,closed,Add support for GitHub EU,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,False,29.551630411999994
10,https://github.com/microsoft/apm/issues/10,closed,Security Policy missing the email address for security reports,,area/mcp-config;area/package-authoring;theme/security,False,,False,14.040588460999999
12,https://github.com/microsoft/apm/issues/12,closed,[BUG] Fork PR Testing does not work (no access to secrets),type/bug,area/audit-policy;area/ci-cd;area/content-security;area/distribution;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/performance;type/refactor,True,False,False,30.278635264000002
13,https://github.com/microsoft/apm/issues/13,closed,Refactor `apm init` to minimal-only mode (breaking change),type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,30.807192420999996
14,https://github.com/microsoft/apm/issues/14,closed,Add auto-bootstrap in `apm install` when no apm.yml exists,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,44.31645090900001
15,https://github.com/microsoft/apm/issues/15,closed,Improve error messages in `apm install` with actionable suggestions,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,24.016086843999986
16,https://github.com/microsoft/apm/issues/16,closed,Update documentation for new init/install workflows,type/docs,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,43.237714369
17,https://github.com/microsoft/apm/issues/17,closed,[Future] Design community template ecosystem via create-apm-* packages,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,44.18406363699998
20,https://github.com/microsoft/apm/issues/20,closed,[FEATURE] Extended MCP Server Configuration in apm.yml,area/mcp-config;area/mcp-trust;theme/security;type/bug;type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,54.38297803599998
24,https://github.com/microsoft/apm/issues/24,closed,Failed to clone from the private organisation repository,,area/mcp-config;area/package-authoring,False,,True,29.085626671
27,https://github.com/microsoft/apm/issues/27,closed,[Clarity]  Intended Purpose and Compilation Behavior of Context Files (.context.md),,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;theme/portability;theme/security;type/architecture;type/bug;type/docs;type/performance;type/release,False,,True,44.618759624000006
28,https://github.com/microsoft/apm/issues/28,closed,[BUG] Documented `apm compile --format vscode` and `apm export vscode` Commands Not Found,type/bug,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,30.652782593999987
35,https://github.com/microsoft/apm/issues/35,closed,[FEATURE] Add master to supported branch,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,44.193941084000016
37,https://github.com/microsoft/apm/issues/37,closed,[FEATURE]  EPIC: Big functionality,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/release,True,False,False,14.92772714900002
38,https://github.com/microsoft/apm/issues/38,closed,Feature 1: UI,,area/package-authoring;theme/portability,False,,False,16.531927013
39,https://github.com/microsoft/apm/issues/39,closed,[FEATURE] Azure DevOps,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,False,23.215828559999977
41,https://github.com/microsoft/apm/issues/41,closed,[BUG] Version mismatch,type/bug,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,54.23800349800001
42,https://github.com/microsoft/apm/issues/42,closed,[BUG] Collection with azure devops,type/bug,area/ci-cd;area/cli;area/distribution;area/enterprise;area/marketplace;area/mcp-config;area/multi-target;area/package-authoring;theme/portability;type/architecture;type/bug,True,False,True,29.009535256999982
44,https://github.com/microsoft/apm/issues/44,closed,[BUG] No agents.md with apm compile,type/bug,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/performance;type/refactor;type/release,True,False,True,44.589121627000026
51,https://github.com/microsoft/apm/issues/51,closed,[FEATURE] Configurable Directory Exclusion for `apm compile`,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,30.439967560000014
54,https://github.com/microsoft/apm/issues/54,closed,[FEATURE] Prompt users to update to new version and run update automatically,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,False,30.356575429999992
56,https://github.com/microsoft/apm/issues/56,closed,[BUG] Failure to setup the runtime,type/bug,area/audit-policy;area/ci-cd;area/cli;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/performance;type/refactor;type/release,True,False,False,22.468529639999986
57,https://github.com/microsoft/apm/issues/57,closed,Install script should warn of no Windows support,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,False,23.261462574000006
60,https://github.com/microsoft/apm/issues/60,closed,Scaffold individual primitives as reusable packages with `apm init --type`,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,44.300733854999976
61,https://github.com/microsoft/apm/issues/61,closed,Transitive dependencies are not being installed,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,54.13092361400001
62,https://github.com/microsoft/apm/issues/62,closed,Bug: `apm deps update` doesn't integrate primitives to .github/ directories,,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,False,,True,29.121186951999988
63,https://github.com/microsoft/apm/issues/63,closed,[BUG] GITHUB_HOST not respected,type/bug,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/refactor;type/release,True,False,False,41.08402822000005
65,https://github.com/microsoft/apm/issues/65,closed,[FEATURE] Opencode support,type/feature,area/ci-cd;area/content-security;area/package-authoring;type/feature,True,True,False,13.862834346
66,https://github.com/microsoft/apm/issues/66,closed,[BUG] Fix YAML formatting issue in apm.yml,type/bug,area/audit-policy;area/ci-cd;area/enterprise;area/marketplace;area/mcp-config;area/package-authoring;theme/portability;type/architecture;type/bug;type/docs;type/refactor,True,False,True,44.254501307
71,https://github.com/microsoft/apm/issues/71,closed,Support OpenCode.ai skills directory during install,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,23.94532187499999
72,https://github.com/microsoft/apm/issues/72,closed,Generic git URL support and optional output override,type/feature,area/audit-policy;area/ci-cd;area/cli;area/content-security;area/distribution;area/docs-site;area/enterprise;area/lockfile;area/marketplace;area/mcp-config;area/mcp-trust;area/multi-target;area/package-authoring;area/testing;theme/governance;theme/portability;theme/security;type/architecture;type/automation;type/bug;type/docs;type/feature;type/performance;type/refactor;type/release,True,False,True,43.06683965900001
